trial,val_f1,ngram_range,max_features,sublinear_tf,min_df,max_df,C,class_weight,threshold,vocab_actual
91,0.972811541500633,2_4,10000,True,5,0.8813135833597188,4.952437278538099,none,0.47999999999999987,10000
21,0.972811541500633,2_4,10000,True,5,0.9157895898574706,4.850452748386976,none,0.47999999999999987,10000
88,0.972811541500633,2_4,10000,True,5,0.8806890098039948,4.924108951047938,none,0.47999999999999987,10000
89,0.972811541500633,2_4,10000,True,5,0.8809687974209023,4.984093146279292,none,0.47999999999999987,10000
87,0.972811541500633,2_4,10000,True,5,0.879902663714633,4.992779096581106,none,0.47999999999999987,10000
97,0.972811541500633,2_4,10000,True,5,0.9104245434991532,4.975533196943278,balanced,0.47999999999999987,10000
22,0.9728113290816529,2_4,25000,True,5,0.9464148181728868,4.830766642652798,none,0.47999999999999987,16074
25,0.9724989257392866,2_4,50000,True,5,0.9472266383540127,4.993010549755412,none,0.47999999999999987,16074
62,0.9724957024535084,2_5,25000,True,5,0.8506001652091886,4.9574764987121025,none,0.5799999999999998,25000
71,0.9724957024535084,2_5,25000,True,5,0.8587213798288225,4.979209630867049,none,0.5799999999999998,25000
74,0.9724957024535084,2_5,25000,True,5,0.8706313938540835,4.955989540244291,none,0.5799999999999998,25000
81,0.9724957024535084,2_5,25000,True,5,0.8596039871341027,4.971697620466378,none,0.5799999999999998,25000
15,0.9721863021639897,2_4,15000,True,3,0.8743521466741054,4.977318627971607,none,0.47999999999999987,15000
85,0.9721863021639897,2_4,25000,True,5,0.8668697538422394,4.504240107215524,none,0.47999999999999987,16074
92,0.9721860631276753,2_4,10000,True,5,0.8806985939433486,4.532847770577618,none,0.47999999999999987,10000
41,0.9721829335460246,2_5,25000,True,5,0.8563286938923439,4.92611689661331,none,0.5799999999999998,25000
61,0.9721829335460246,2_5,25000,True,5,0.8560351441480498,4.745146278858695,none,0.5799999999999998,25000
53,0.9721829335460246,2_5,25000,True,5,0.8640026816001797,4.885323100887635,none,0.5799999999999998,25000
51,0.9721829335460246,2_5,25000,True,5,0.8557436041936988,4.9439246120634275,none,0.5799999999999998,25000
3,0.9721829335460246,2_5,25000,True,5,0.8611825965519656,4.706996523414968,none,0.5799999999999998,25000
58,0.9718739013242705,2_4,50000,True,5,0.9399245717422112,4.280757879109729,none,0.47999999999999987,16074
96,0.9718736705914615,2_4,10000,True,5,0.8814595823589061,4.498067426200652,none,0.47999999999999987,10000
31,0.9718736705914615,2_4,10000,True,3,0.9090465581481051,4.736598672505134,none,0.47999999999999987,10000
11,0.9718721872187219,2_4,10000,True,4,0.9159923806792424,4.133403102699996,none,0.5399999999999998,10000
90,0.9718721872187219,2_4,10000,True,5,0.8842971418542858,3.9633578031653642,none,0.5399999999999998,10000
95,0.9718721872187219,2_4,10000,True,5,0.8963152594371141,4.004000588398355,none,0.5399999999999998,10000
82,0.9718701541945312,2_5,25000,True,5,0.870661210140873,4.307749084216005,none,0.5799999999999998,25000
12,0.9718701541945312,2_4,35000,True,4,0.8510470653325948,4.39609257264573,none,0.5799999999999998,18465
72,0.9718701541945312,2_5,25000,True,5,0.8595534977664687,4.454534643764368,none,0.5799999999999998,25000
34,0.9715616973955612,2_4,50000,False,5,0.9461226340627272,4.848041367201495,none,0.45999999999999985,16074
78,0.9715612752463265,2_4,20000,True,5,0.9501396933655248,3.789493575665446,none,0.47999999999999987,16074
10,0.9715601642673973,2_4,10000,True,4,0.9128302439213807,3.268132041482867,none,0.5199999999999998,10000
93,0.9715601642673973,2_4,10000,True,5,0.876541423623285,3.242169546994338,none,0.5199999999999998,10000
94,0.9715598309567919,2_4,10000,True,5,0.8886628093679211,3.5868232686889163,none,0.5199999999999998,10000
64,0.9715573642154721,2_5,25000,True,5,0.8679401734845033,4.2414934369444435,none,0.5799999999999998,25000
54,0.9715573642154721,2_5,25000,True,5,0.8558447874341293,4.243010434597378,none,0.5799999999999998,25000
50,0.9712497192355394,2_4,15000,True,2,0.9628816118089831,4.176200307939722,balanced,0.4399999999999999,15000
99,0.9712494496964981,2_4,10000,True,5,0.9135852211368877,3.5182529909460776,balanced,0.45999999999999985,10000
84,0.9712459452289952,2_5,25000,True,5,0.9825385979908572,3.838579871369242,none,0.5599999999999998,25000
73,0.9712459452289952,2_5,25000,True,5,0.850543362240296,3.7712788171633127,none,0.5599999999999998,25000
43,0.9712459452289952,2_5,25000,True,5,0.9184657907605808,3.97685896910344,none,0.5599999999999998,25000
60,0.971245507110486,2_4,10000,True,5,0.9341679288831543,2.886088599455346,none,0.5799999999999998,10000
